;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Combustíveis sólidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Petróleo bruto e produtos petrolíferos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gás;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Energia nuclear;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Energias renováveis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;698,705.1;x;480,956.4;136,284.1;11,170.4;13,885.1;10,243.1;80.9;4,809.6;26,705.4;6,260.5;3,894.4;30,185.8;4,225.5;16,469.0;135,907.8;9,904.9;10,885.2;1,548.3;32,878.1;1,789.3;4,130.9;123.8;0.9;67,743.0;70,684.2;4,473.6;33,174.5;28,919.5;32,327.3;221,529.0;166,691.3;161,054.2;x;64,263.7;50,057.2;0.0;0.0;4,815.5;0.0;0.0;0.0;623.7;1,184.8;4,194.2;0.0;0.0;0.0;8,129.5;1,693.6;0.0;74.3;0.0;0.0;0.0;0.0;0.0;60,535.1;0.0;22,785.1;6,961.1;0.0;2,302.1;10,466.1;37,836.5;x;15,472.9;4,796.0;1,001.3;0.0;24.4;0.0;888.7;14,414.5;20.7;0.0;128.3;0.0;22.3;1,280.4;56.7;1,245.3;0.0;5,684.6;0.0;130.8;0.0;0.0;2,351.8;790.9;0.0;342.8;4,656.9;0.0;116,096.0;74,611.7;110,471.2;x;84,254.0;13,172.0;1,234.5;0.0;156.3;0.0;2,194.3;9,017.7;87.4;2.6;14.0;0.0;0.0;810.9;14.6;2,005.8;368.1;7,579.9;0.0;0.0;0.0;0.0;60,970.0;3,689.9;0.0;160.5;8,992.6;0.0;89,370.5;62,571.4;228,671.2;x;194,383.0;38,304.8;0.0;11,754.4;4,131.6;0.0;0.0;0.0;4,452.2;1,618.1;15,212.3;0.0;5,922.1;113,356.9;0.0;3,862.1;0.0;0.0;0.0;2,686.7;0.0;0.0;1,075.4;0.0;0.0;6,918.4;2,895.8;16,480.4;0.0;13,539.0;145,530.3;x;109,201.8;26,829.1;8,420.2;1,374.9;1,113.4;75.2;1,718.0;2,827.0;1,032.9;1,079.5;10,308.9;755.4;9,163.2;19,302.9;1,700.1;2,010.3;519.8;18,787.4;1,781.7;1,053.8;88.7;0.9;2,586.3;5,402.3;4,340.8;2,755.3;5,336.2;15,166.1;13,578.7;4,975.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;668,675.3;x;462,869.3;128,967.6;11,704.5;14,340.5;9,704.4;90.4;4,963.6;24,029.7;5,810.1;3,626.5;30,518.6;4,157.8;16,248.0;129,767.5;10,130.2;11,557.5;1,433.5;31,622.0;2,097.4;4,409.1;111.2;0.9;62,908.0;66,895.6;4,925.6;31,583.5;28,187.0;28,884.8;218,639.6;154,907.4;149,858.4;x;60,230.3;46,384.6;0.0;0.0;4,559.9;0.0;0.0;0.0;653.3;1,159.8;3,810.9;0.0;0.0;0.0;8,175.9;1,556.0;0.0;45.7;0.0;0.0;0.0;0.0;0.0;56,095.5;0.0;20,853.3;6,563.4;0.0;1,772.5;10,182.9;34,553.5;x;13,825.5;4,347.4;1,089.9;0.0;25.4;0.0;833.7;13,251.9;17.4;0.0;106.1;0.0;98.5;1,137.7;72.9;1,205.7;0.0;4,916.7;0.0;117.5;0.0;0.0;1,921.3;697.6;0.0;305.7;4,408.0;0.0;111,408.4;70,898.2;103,191.6;x;78,373.4;13,016.2;1,343.9;0.0;13.1;0.0;2,196.5;7,523.5;87.7;2.6;12.2;0.0;0.0;763.4;11.7;2,287.3;253.3;6,562.6;0.0;0.0;0.0;0.0;56,319.7;3,677.8;0.0;181.7;8,938.4;0.0;92,870.1;52,627.5;212,543.5;x;181,951.7;34,733.2;0.0;11,853.3;3,877.9;0.0;0.0;0.0;3,783.0;1,354.7;13,783.0;0.0;5,762.0;106,857.0;0.0;3,878.0;0.0;0.0;0.0;2,845.5;0.0;0.0;980.0;0.0;0.0;6,975.4;2,979.6;12,881.0;0.0;15,229.0;151,743.0;x;113,507.7;26,876.6;8,723.2;1,739.4;1,179.4;83.8;1,924.5;2,831.4;1,222.9;1,093.3;12,380.1;864.7;7,928.8;19,773.9;1,865.6;2,557.0;588.8;19,294.6;2,089.3;1,170.1;83.1;0.9;2,942.5;6,058.6;4,785.9;3,048.1;5,274.6;15,361.7;12,428.7;5,425.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;695,292.2;x;486,777.1;131,671.3;12,116.0;15,012.1;10,452.7;93.0;5,169.1;23,362.0;6,008.6;3,689.8;34,553.1;4,930.3;17,084.2;136,765.7;9,493.7;11,707.4;1,826.2;32,944.7;1,977.3;1,563.3;118.6;4.3;71,123.4;66,834.4;5,801.5;31,862.6;27,370.0;31,756.9;209,993.1;145,979.8;146,621.4;x;58,391.1;45,905.8;0.0;0.0;4,927.4;0.0;0.0;0.0;613.4;1,196.0;3,296.4;0.0;0.0;0.0;7,315.4;1,593.3;0.0;64.1;0.0;0.0;0.0;0.0;0.0;55,076.9;0.0;20,729.9;5,902.9;0.0;1,298.7;10,528.4;33,002.3;x;13,441.9;3,671.8;1,052.7;0.0;23.4;0.0;764.8;12,485.7;15.4;0.0;124.3;0.0;68.0;1,091.0;104.8;1,084.1;0.0;5,560.2;0.0;117.5;0.0;0.0;1,636.1;747.4;0.0;268.8;4,186.2;0.0;101,838.0;65,449.6;109,503.7;x;85,138.9;11,113.2;1,397.1;0.0;59.1;0.0;2,214.7;7,342.8;88.3;6.0;44.6;0.0;0.0;645.8;7.6;2,234.9;234.3;6,884.5;0.0;0.0;0.0;0.0;64,717.5;3,693.0;0.0;201.7;8,618.6;0.0;94,721.3;49,785.8;219,620.7;x;187,227.4;36,200.8;0.0;11,608.9;3,849.1;0.0;0.0;0.0;3,853.3;1,335.2;16,134.8;0.0;5,565.0;111,612.0;0.0;3,963.0;0.0;0.0;0.0;0.0;0.0;0.0;917.4;0.0;0.0;7,160.4;2,922.8;14,498.0;0.0;13,947.0;168,194.0;x;126,172.4;30,873.5;9,046.6;2,460.0;1,533.5;85.9;2,181.9;3,123.9;1,403.8;1,134.0;14,630.8;987.5;9,373.6;22,165.6;2,033.8;2,744.3;571.8;19,394.8;1,964.4;1,184.7;87.8;4.3;3,127.9;6,892.3;5,641.5;3,298.9;5,708.4;16,538.3;11,918.2;5,808.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;682,275.9;x;472,203.3;125,140.3;11,441.8;15,132.5;12,240.5;101.4;4,618.6;20,654.4;6,169.6;3,743.4;32,160.4;5,038.0;16,763.9;137,494.7;9,679.1;11,634.6;1,722.3;31,917.4;2,075.2;1,578.8;113.3;6.4;66,393.2;67,805.9;5,531.5;32,379.8;27,492.9;33,246.1;200,320.5;127,207.1;149,419.5;x;58,711.5;46,697.3;0.0;0.0;6,206.9;0.0;0.0;0.0;601.6;1,200.5;2,648.7;0.0;0.0;0.0;7,504.9;1,645.4;0.0;58.4;0.0;0.0;0.0;0.0;0.0;55,298.2;0.0;20,895.6;6,661.9;0.0;930.2;10,552.1;31,382.4;x;13,313.3;3,807.4;835.4;0.0;22.4;0.0;707.0;11,236.8;17.4;0.0;101.0;0.0;60.9;1,063.2;89.3;958.4;0.0;5,580.6;0.0;116.5;0.0;0.0;1,641.6;681.4;0.0;334.1;4,129.0;0.0;96,326.0;53,997.3;102,873.4;x;79,804.5;10,893.0;1,376.7;0.0;350.7;0.0;2,007.0;5,889.8;102.8;1.7;45.5;0.0;0.0;505.8;6.4;2,115.3;196.3;6,919.7;0.0;0.0;0.0;0.0;59,756.7;3,849.9;0.0;189.4;8,666.8;0.0;90,550.2;39,623.8;215,345.9;x;181,845.2;27,807.2;0.0;11,700.6;4,105.1;0.0;0.0;0.0;4,027.0;1,470.5;15,044.7;0.0;5,627.0;115,209.0;0.0;3,964.9;0.0;0.0;0.0;0.0;0.0;0.0;959.2;0.0;0.0;7,199.9;2,978.9;15,252.0;0.0;15,626.0;164,615.3;x;121,892.8;32,061.5;8,546.9;2,530.6;1,471.0;101.3;1,900.3;3,114.7;1,386.9;1,046.8;13,946.2;976.5;9,135.8;19,157.7;2,050.4;2,856.7;737.7;18,223.6;2,071.3;1,162.1;81.4;6.4;3,289.3;7,497.3;5,380.4;3,538.0;5,027.4;17,317.1;12,301.8;6,669.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;689,034.4;x;476,383.9;126,408.2;12,855.8;13,530.8;11,689.0;113.2;4,232.9;18,870.3;6,235.6;3,489.9;33,627.2;5,091.5;16,857.1;136,582.4;10,476.3;11,612.6;1,290.4;34,964.4;2,336.8;1,594.1;123.4;8.8;66,089.2;71,098.7;4,708.8;32,368.0;27,197.4;35,581.6;206,320.4;113,229.8;151,021.5;x;59,813.1;47,596.3;0.0;0.0;5,607.9;0.0;0.0;0.0;567.4;1,093.2;2,460.7;0.0;0.0;0.0;8,044.7;1,606.5;0.0;50.8;0.0;0.0;0.0;0.0;0.0;57,506.8;0.0;20,141.5;6,345.7;0.0;824.9;9,639.5;30,213.7;x;13,372.1;3,735.6;932.8;0.0;24.4;0.0;631.4;10,249.8;14.4;0.0;143.5;0.0;71.1;964.5;85.7;1,030.3;0.0;5,629.4;0.0;104.2;0.0;0.0;1,691.1;701.2;0.0;313.7;3,890.8;0.0;89,625.4;46,276.0;99,404.2;x;77,730.5;9,568.9;1,479.6;0.0;308.3;0.0;1,634.8;5,159.1;127.2;1.7;51.8;0.0;0.0;451.9;6.9;1,768.1;179.5;7,047.5;0.0;0.0;0.0;0.0;58,815.6;3,906.8;0.0;213.9;8,682.7;0.0;101,451.7;33,699.4;208,372.4;x;174,051.5;25,618.6;0.0;9,765.3;4,020.2;0.0;0.0;0.0;4,050.0;1,308.1;15,990.5;0.0;5,536.0;110,863.0;0.0;3,986.1;0.0;0.0;0.0;0.0;0.0;0.0;920.0;0.0;0.0;7,674.0;3,008.5;15,632.0;0.0;15,206.0;182,509.6;x;135,767.2;35,872.4;9,785.9;2,820.5;1,664.9;113.2;1,958.5;3,078.4;1,433.5;1,063.5;14,635.5;1,056.3;9,936.4;22,693.7;2,324.1;3,133.4;744.4;21,104.4;2,331.4;1,197.9;91.2;8.8;3,991.4;8,535.6;4,562.8;3,796.6;5,242.2;19,332.7;14,192.0;7,611.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;689,895.0;x;485,356.9;123,957.2;12,394.0;14,328.5;10,666.0;114.6;4,457.6;16,782.9;6,412.5;3,515.4;34,876.4;5,653.3;17,687.0;138,488.2;9,365.7;11,297.8;2,328.7;36,766.6;2,143.5;1,679.2;132.3;9.4;69,751.9;70,738.4;5,752.5;30,313.6;25,808.6;34,473.2;196,309.7;106,697.9;140,810.3;x;55,251.4;45,054.7;0.0;0.0;4,782.3;0.0;0.0;0.0;584.3;1,074.9;1,762.8;0.0;0.0;0.0;6,728.3;1,611.7;0.0;46.4;0.0;0.0;0.0;0.0;0.0;56,834.8;0.0;17,673.6;4,656.4;0.0;1,245.0;7,516.4;29,324.2;x;13,619.6;3,726.1;885.5;0.0;28.4;0.0;613.9;8,917.8;12.5;0.0;371.8;0.0;0.0;989.6;63.8;877.4;0.0;5,747.6;0.0;87.9;0.0;0.0;1,734.9;982.9;0.0;256.0;4,028.3;0.0;85,351.0;42,223.4;99,461.5;x;79,265.0;8,865.6;1,190.1;0.0;233.9;0.0;1,507.3;4,281.9;104.4;2.6;49.8;0.0;0.0;289.4;5.8;1,544.3;165.0;6,335.0;0.0;0.0;0.0;0.0;62,257.4;3,823.1;0.0;205.9;8,600.1;0.0;96,388.6;31,797.4;206,514.0;x;172,300.2;25,052.2;0.0;10,336.5;3,667.6;0.0;0.0;0.0;4,110.5;1,250.9;14,785.0;0.0;5,694.0;110,414.9;0.0;3,869.5;0.0;0.0;0.0;0.0;0.0;0.0;656.2;0.0;0.0;7,758.5;2,922.2;15,996.0;0.0;15,443.0;193,657.9;x;146,770.8;37,151.3;9,680.1;3,030.4;1,890.1;114.6;2,327.7;3,207.8;1,466.7;1,161.5;17,554.3;1,122.2;9,930.1;25,146.8;2,546.7;3,314.0;775.7;23,499.7;2,137.0;1,288.4;98.8;9.4;4,449.9;8,607.6;5,607.1;4,198.5;5,560.7;17,780.8;12,973.6;9,097.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;673,271.5;x;472,754.8;121,047.9;12,316.9;12,149.4;11,307.2;122.2;4,366.8;16,224.6;6,319.2;3,564.3;35,591.3;5,572.0;17,805.0;139,481.8;8,859.6;10,880.0;2,056.3;36,694.5;2,380.3;1,788.5;152.9;13.4;60,261.1;67,083.3;6,578.1;29,499.2;26,273.9;34,881.7;196,919.3;105,349.7;135,227.4;x;53,597.0;44,132.6;0.0;0.0;5,106.0;0.0;0.0;0.0;579.3;818.1;1,628.2;0.0;0.0;0.0;6,384.2;1,588.0;0.0;54.6;0.0;0.0;0.0;0.0;0.0;53,639.3;0.0;16,848.4;4,448.7;0.0;1,124.2;6,924.3;28,928.2;x;13,911.6;3,436.2;990.6;0.0;26.4;0.0;611.3;8,350.8;11.5;0.0;308.1;0.0;0.0;951.9;58.3;837.5;0.0;5,982.9;0.0;83.8;0.0;0.0;2,088.1;969.6;0.0;260.4;3,960.6;0.0;86,160.4;41,500.1;85,866.6;x;65,984.1;6,864.1;1,085.0;0.0;159.5;0.0;1,443.7;4,138.2;83.8;2.6;20.8;0.0;0.0;12.5;5.4;1,437.3;132.3;5,855.1;0.0;0.0;0.0;0.0;51,922.5;3,726.3;0.0;211.9;8,765.5;0.0;95,797.3;32,185.1;208,966.1;x;174,048.1;25,010.7;0.0;8,176.2;4,046.7;0.0;0.0;0.0;4,053.0;1,499.5;14,931.1;0.0;5,688.5;113,747.8;0.0;3,937.4;0.0;0.0;0.0;0.0;0.0;0.0;941.3;0.0;0.0;7,630.8;2,941.2;16,362.0;0.0;13,850.0;194,191.0;x;147,210.1;37,302.1;9,595.4;2,995.3;1,913.8;115.3;2,301.7;3,356.4;1,440.8;1,211.3;18,328.7;1,186.0;10,121.9;23,077.1;2,391.0;2,981.1;875.8;23,644.2;2,371.0;1,358.2;120.2;13.4;4,632.6;8,181.5;6,429.9;4,290.2;6,089.5;17,866.7;13,452.3;10,034.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;657,779.3;x;455,562.5;120,545.5;12,228.1;10,300.3;12,032.5;131.0;4,414.5;16,156.5;6,394.2;3,317.3;34,140.0;5,591.1;17,213.1;140,730.9;8,529.7;11,104.6;1,963.3;36,098.1;2,338.3;1,859.8;150.3;15.7;48,108.0;67,759.5;5,907.9;28,553.3;26,374.5;35,821.4;207,589.5;115,813.4;133,780.8;x;51,334.5;43,003.9;0.0;0.0;5,831.8;0.0;0.0;0.0;495.3;862.4;1,246.1;0.0;0.0;0.0;5,675.3;1,518.3;0.0;51.4;0.0;0.0;0.0;0.0;0.0;53,589.8;0.0;16,795.4;4,711.1;0.0;742.3;5,114.9;28,212.2;x;13,648.9;3,539.8;887.9;0.0;25.4;0.0;693.1;7,897.7;11.6;0.0;234.4;0.0;0.0;990.0;56.5;866.0;0.0;5,788.1;0.0;75.1;0.0;0.0;2,065.4;946.3;0.0;206.0;3,928.7;0.0;89,824.7;47,048.7;72,378.7;x;52,636.5;6,335.2;1,037.4;0.0;84.5;0.0;1,471.4;4,144.2;77.8;2.6;54.1;0.0;0.0;19.1;4.7;1,369.0;112.8;5,545.5;0.0;0.0;0.0;0.0;39,447.3;3,682.9;0.0;204.8;8,785.2;0.0;102,846.9;34,245.8;203,781.7;x;170,722.9;23,636.3;0.0;6,283.2;3,912.0;0.0;0.0;0.0;4,028.0;1,332.2;14,903.2;0.0;5,606.2;113,996.4;0.0;3,994.3;0.0;0.0;0.0;0.0;0.0;0.0;937.4;0.0;0.0;6,680.4;2,940.1;15,532.0;0.0;15,479.3;200,380.5;x;150,119.9;39,778.3;9,631.1;3,053.8;2,117.2;127.7;2,240.7;3,735.5;1,591.6;1,082.4;17,288.5;1,307.2;10,395.1;24,050.5;2,704.1;3,249.7;1,012.4;23,563.8;2,330.2;1,466.1;116.4;15.7;4,821.9;8,970.2;5,783.0;4,385.3;5,934.9;19,627.0;13,771.0;12,937.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;641,215.9;x;445,204.5;115,865.8;12,564.2;14,732.4;11,272.8;138.5;4,439.2;15,287.9;6,234.1;3,483.6;34,405.8;5,187.4;17,276.9;133,373.7;6,771.6;11,279.7;4,239.0;33,518.6;2,447.1;1,892.6;160.2;18.5;46,298.5;66,601.1;6,595.9;27,032.6;24,738.4;35,359.7;209,803.7;118,085.6;124,669.4;x;45,827.3;39,725.0;0.0;0.0;5,081.3;0.0;0.0;0.0;451.7;941.9;736.2;0.0;0.0;0.0;3,972.6;1,462.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52,091.6;0.0;15,972.7;4,234.0;0.0;549.0;2,650.7;25,201.6;x;11,365.8;3,597.2;804.0;0.0;24.4;0.0;762.6;7,111.6;10.3;0.0;142.5;0.0;0.0;939.0;160.4;991.9;0.0;4,028.8;0.0;64.7;0.0;0.0;1,619.1;1,026.7;0.0;184.5;3,734.2;0.0;92,237.0;49,292.5;71,436.2;x;52,990.6;6,550.9;974.5;0.0;76.7;0.0;1,369.1;4,054.1;76.6;4.3;48.0;0.0;0.0;18.0;9.6;1,428.8;2,487.9;4,737.9;0.0;0.0;0.0;0.0;38,083.0;3,552.7;0.0;180.2;7,784.0;0.0;102,335.8;35,890.4;197,052.8;x;164,484.0;21,794.7;0.0;10,589.0;4,010.9;0.0;0.0;0.0;3,894.0;1,348.6;15,272.9;0.0;5,589.8;105,078.8;0.0;4,070.7;0.0;0.0;0.0;0.0;0.0;0.0;916.1;0.0;0.0;5,977.5;2,810.7;15,699.0;0.0;15,413.8;203,332.0;x;153,596.3;39,684.7;10,068.2;3,108.2;1,996.2;133.7;2,297.3;3,746.9;1,603.3;1,148.4;17,767.5;1,491.9;10,538.7;25,593.3;2,568.9;3,200.5;1,005.0;23,568.7;2,437.4;1,501.7;126.4;18.5;4,799.9;9,167.0;6,431.9;4,402.3;6,095.6;18,830.1;14,293.5;13,526.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;639,598.0;x;443,277.6;115,557.6;12,635.5;14,537.8;11,727.6;144.7;4,224.7;15,635.6;6,369.8;3,551.0;33,985.4;5,785.8;18,239.5;131,377.2;7,490.5;11,149.7;4,879.9;36,666.7;2,587.2;2,077.8;182.2;30.5;41,338.8;64,165.3;5,839.7;27,361.4;25,490.5;36,565.6;214,670.5;118,131.4;122,628.7;x;46,517.2;39,442.4;0.0;0.0;5,669.5;0.0;0.0;0.0;446.4;933.4;1,127.8;0.0;0.0;0.0;4,567.3;1,283.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49,527.3;0.0;15,164.7;4,466.8;0.0;87.9;1,934.0;25,001.3;x;11,460.6;3,529.6;745.8;0.0;24.3;0.0;773.3;6,919.1;8.2;0.5;121.2;0.0;0.0;898.1;129.0;1,045.4;0.0;4,456.1;0.0;56.5;0.0;0.0;1,515.5;1,002.4;0.0;208.4;3,567.8;0.0;91,016.7;48,463.1;66,609.9;x;47,244.4;6,028.8;1,042.9;0.0;66.3;0.0;1,229.5;4,350.4;116.8;7.2;23.8;0.0;0.0;14.1;9.1;1,410.7;2,848.2;4,535.9;0.0;0.0;0.0;0.0;32,617.5;3,511.9;0.0;188.5;8,608.3;0.0;108,719.9;35,983.1;194,898.9;x;160,599.4;19,654.7;0.0;10,299.7;3,940.7;0.0;0.0;0.0;3,985.0;1,488.1;15,131.5;0.0;5,390.1;103,860.7;0.0;4,084.0;0.0;0.0;0.0;0.0;0.0;0.0;789.5;0.0;0.0;7,016.8;2,907.0;16,351.0;0.0;15,123.8;210,277.9;x;160,056.8;42,388.1;10,177.4;3,232.5;1,938.2;141.4;2,210.4;3,971.8;1,615.1;1,073.6;17,108.7;1,590.9;11,670.7;24,909.0;2,785.2;3,196.2;1,174.5;26,540.4;2,580.1;1,656.4;145.3;30.5;5,540.7;9,228.4;5,696.2;4,466.5;5,844.5;19,365.0;14,447.3;15,450.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;637,088.1;x;442,559.7;113,317.5;12,024.6;11,325.7;11,957.4;196.7;4,195.3;13,882.7;5,999.9;3,414.4;34,363.0;6,604.6;19,697.7;137,365.9;7,534.7;10,871.6;5,039.2;37,342.1;2,860.7;2,056.8;209.1;33.6;36,676.3;64,620.7;6,497.2;27,343.1;25,059.0;36,598.6;207,293.9;121,651.4;116,090.5;x;44,285.2;37,859.2;0.0;0.0;5,056.1;0.0;0.0;0.0;367.0;901.4;882.9;0.0;0.0;0.0;4,274.8;1,141.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47,010.9;0.0;14,580.6;4,016.6;0.0;100.9;1,657.6;24,487.5;x;12,024.9;3,491.2;698.6;0.0;22.8;0.0;765.8;5,819.0;7.2;0.9;87.9;0.0;0.0;874.1;201.2;1,108.1;0.0;5,090.5;0.0;46.5;0.0;0.0;1,526.9;1,031.9;0.0;196.4;3,518.4;0.0;85,717.4;52,849.6;59,195.4;x;40,767.6;4,714.7;859.1;0.0;28.5;0.0;1,017.7;3,703.8;77.6;13.6;75.5;0.0;0.0;7.7;12.7;1,467.2;2,747.2;4,461.9;0.0;0.0;0.0;0.0;27,797.5;3,469.0;0.0;179.6;8,562.0;0.0;106,770.9;34,978.9;195,247.6;x;160,020.3;19,571.0;0.0;6,960.9;4,168.3;0.0;0.0;0.0;3,760.0;1,364.6;14,478.8;0.0;5,444.1;107,628.7;0.0;4,006.0;0.0;0.0;0.0;0.0;0.0;0.0;812.3;0.0;0.0;7,449.0;2,877.0;16,727.0;0.0;14,060.7;219,942.4;x;166,406.3;43,463.7;9,814.2;3,387.8;2,584.3;192.5;2,392.2;3,977.6;1,613.4;1,076.3;18,290.6;1,743.4;11,952.7;27,145.7;3,017.1;3,003.2;1,330.5;26,656.7;2,846.7;1,657.3;171.2;33.6;5,658.3;12,076.1;6,354.5;4,567.9;5,909.2;19,025.5;14,287.8;16,807.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;617,676.7;x;428,511.8;105,275.9;12,407.1;15,194.0;11,693.0;208.4;3,900.4;12,495.2;6,940.0;3,381.7;34,700.3;4,909.2;19,267.4;134,024.5;6,336.8;10,786.7;4,144.2;36,909.8;2,828.2;2,041.1;233.3;36.1;33,121.7;62,142.7;6,552.1;26,598.0;24,529.9;37,019.1;195,693.1;121,505.4;100,065.8;x;32,754.6;28,420.3;0.0;0.0;4,676.1;0.0;0.0;0.0;355.5;891.3;0.0;0.0;0.0;0.0;3,087.5;993.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44,352.6;0.0;13,361.2;3,927.7;0.0;81.2;1,403.5;22,611.2;x;10,863.2;3,213.3;660.2;0.0;0.0;0.0;742.1;5,152.9;6.1;0.5;40.4;0.0;0.0;884.6;164.4;1,163.4;0.0;4,708.0;0.0;40.0;0.0;0.0;1,145.6;1,008.5;0.0;159.6;3,521.4;0.0;80,942.2;53,819.7;52,263.4;x;35,414.0;4,373.6;770.0;2.9;32.4;0.0;851.3;2,764.4;103.1;5.9;116.2;0.0;0.0;14.4;9.6;1,328.2;2,143.5;3,931.1;0.0;0.0;0.0;0.0;23,943.8;3,426.7;0.0;172.5;8,273.9;0.0;100,866.0;33,972.5;196,180.9;x;161,140.0;19,332.0;0.0;10,593.5;4,301.8;0.0;0.0;0.0;4,048.0;1,375.2;15,218.0;0.0;5,675.9;103,987.0;0.0;4,106.0;0.0;0.0;0.0;0.0;0.0;0.0;910.3;0.0;0.0;7,548.2;2,846.0;16,239.0;0.0;13,252.5;227,312.5;x;172,237.9;45,688.7;10,342.7;3,630.9;2,551.2;203.2;2,280.0;4,192.6;2,227.2;1,046.7;18,799.9;1,865.4;12,094.1;27,397.5;3,063.7;3,053.8;1,464.8;27,088.3;2,814.4;1,655.1;195.2;36.1;6,225.2;12,267.7;6,399.0;4,974.7;5,811.5;19,943.1;13,395.6;17,526.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;573,822.4;x;400,449.7;97,976.4;12,387.9;13,333.7;10,832.0;218.3;3,729.5;9,532.0;6,758.9;3,505.8;35,422.9;4,379.5;18,413.4;122,586.5;4,946.5;10,588.2;3,536.9;37,672.6;2,709.9;2,031.6;304.9;41.3;27,427.5;57,958.3;6,795.3;23,502.0;22,360.9;34,869.9;208921.3;x;83,590.1;x;26,127.9;23,387.8;0.0;0.0;3,732.4;0.0;0.0;0.0;244.4;865.4;0.0;0.0;0.0;0.0;1,630.3;932.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40,031.8;0.0;10,173.6;2,591.8;0.0;46.1;x;21,453.6;x;11,702.7;3,284.1;570.7;0.0;0.0;0.0;661.6;3,615.4;4.0;0.4;28.3;0.0;0.0;764.1;92.6;1,032.5;0.0;5,856.0;0.0;31.8;0.0;0.0;1,070.8;934.4;0.0;96.2;3,410.9;0.0;95282.3;x;41,187.1;x;26,990.7;4,030.8;632.6;4.6;47.8;0.0;705.1;1,190.9;54.7;4.6;41.6;0.0;0.0;15.6;6.7;1,320.4;1,651.4;3,287.2;0.0;0.0;0.0;0.0;17,260.8;3,378.1;0.0;162.6;7,391.5;0.0;98038.6;x;175,175.1;x;144,376.1;16,576.8;0.0;8,370.0;4,334.7;0.0;0.0;0.0;4,044.0;1,496.9;15,174.0;0.0;5,547.6;92,211.0;0.0;4,053.0;0.0;0.0;0.0;0.0;0.0;0.0;955.9;0.0;0.0;7,496.3;2,887.0;12,028.0;0;x;234,182.3;x;176,427.5;46,507.7;10,513.0;3,991.2;2,579.6;210.1;2,323.9;4,343.8;2,185.4;1,081.4;19,639.3;1,844.1;11,855.6;27,962.8;3,207.3;3,100.9;1,611.1;27,339.3;2,690.9;1,704.1;260.1;41.3;7,126.7;12,518.2;6,656.1;5,183.3;5,798.3;21,906.8;15165;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
